region,symbol,size_bytes,section,source,address_hex
RAM_D1,(anonymous),128,.bss.hall_min,./Src/App/Hall/hall_filter_asc.o,0x240073D8
RAM_D1,(anonymous),128,.bss.g_rec,./Src/Keyboard/keyboard_engine.o,0x2400F654
RAM_D1,(anonymous),128,.bss.label.0,./Src/UI/ui_event.o,0x24011794
RAM_D1,hsd1,124,.bss.hsd1,./Src/sdmmc.o,0x24012090
RAM_D1,hdma_adc2,120,.bss.label.0,./Src/adc.o,0x24011BBC
RAM_D1,hdma_adc1,120,.bss.label.0,./Src/adc.o,0x24011C34
RAM_D1,hdma_sai2_b,120,.bss.hi2c2,./Src/sai.o,0x24011E70
RAM_D1,hdma_sai2_a,120,.bss.hi2c2,./Src/sai.o,0x24011EE8
RAM_D1,hdma_tim2_ch4,120,.bss.hspi5,./Src/tim.o,0x240121A0
RAM_D1,(anonymous),100,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24002EF4
RAM_D1,hadc3,100,.bss.hadc3,./Src/adc.o,0x24011CAC
RAM_D1,hadc2,100,.bss.hadc2,./Src/adc.o,0x24011D10
RAM_D1,hadc1,100,.bss.hadc1,./Src/adc.o,0x24011D74
RAM_D1,(anonymous),84,.bss.s_cb,./Src/Audio/fx_daisy_comp.o,0x2400B53C
RAM_D1,hi2c2,84,.bss.hi2c2,./Src/i2c.o,0x24011E18
RAM_D1,(anonymous),83,.data,./App/Middlewares/ST/STM32_USB_Device_Library/Class/MIDI/Src/usbd_midi.o,0x2400000C
RAM_D1,_impure_data,76,.data.__sglue,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v7e-m+dp/hard\libc_nano.a(libc_a-impure.o),0x24000560
RAM_D1,htim12,76,.bss.htim12,./Src/tim.o,0x24012218
RAM_D1,htim7,76,.bss.htim7,./Src/tim.o,0x24012268
RAM_D1,htim6,76,.bss.htim6,./Src/tim.o,0x240122B8
RAM_D1,htim5,76,.bss.htim5,./Src/tim.o,0x24012304
RAM_D1,htim2,76,.bss.htim2,./Src/tim.o,0x24012350
RAM_D1,(anonymous),75,.bss.g_u8g2,./Drivers/Drv_app/Src/led_framebuffer.o,0x24001CC8
RAM_D1,(anonymous),72,.data.Stat,./Src/UI/pages/ui_page_template_filter.o,0x24000440
RAM_D1,(anonymous),72,.data.Stat,./Src/UI/pages/ui_page_template_filter.o,0x24000488
RAM_D1,(anonymous),72,.data.Stat,./Src/UI/pages/ui_page_template_filter.o,0x240004D0
RAM_D1,voices,72,.bss.voices,./Src/Sampler/voice_manager.o,0x24010E14
RAM_D1,(anonymous),64,.bss,./App/Middlewares/ST/STM32_USB_Device_Library/Class/MIDI/Src/usbd_midi.o,0x2400073C
RAM_D1,(anonymous),64,.bss.pFlash,./Src/App/Hall/hall_adc.o,0x24002E90
RAM_D1,(anonymous),64,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24006F58
RAM_D1,(anonymous),64,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24006FE4
RAM_D1,(anonymous),64,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x240072B8
RAM_D1,(anonymous),64,.bss.g_rec,./Src/Keyboard/ui_keyboard_app.o,0x2400FAE0
RAM_D1,(anonymous),64,.bss.label.0,./Src/UI/ui_page_manager.o,0x24011818
RAM_D2,(anonymous),64,.ram_d2_lut,./Src/Core/track_runtime.o,0x3000AD04
